issn,doi-num,on_crossref,reference,asserted-by-cr,asserted-by-pub,ref-undefined,ref-num,year,doi
1070-9428 1314-2607,1,1,1,8,0,12,20,,10.3897/jhr.29.3529
1070-9428 1314-2607,1,1,1,3,0,13,16,,10.3897/jhr.30.4018
2090-3464 2090-3472,1,1,1,10,5,15,30,,10.1155/2013/245940
2090-3464 2090-3472,1,1,1,18,42,14,74,,10.1155/2014/640952
2090-3464 2090-3472,1,1,1,7,7,7,21,,10.1155/2013/710621
2090-3464 2090-3472,1,1,1,13,15,6,34,,10.4061/2011/468717
2356-6124 2356-7759,1,1,1,0,23,5,28,,10.1155/2015/349801
2356-6124 2356-7759,1,1,1,5,15,2,22,,10.1155/2017/7845963
2356-6124 2356-7759,1,1,1,0,57,9,66,,10.1155/2021/4492206
2356-6124 2356-7759,1,1,1,1,6,1,8,,10.1155/2014/514086
2079-8245 2308-1422,1,1,1,1,7,34,42,,10.4102/rw.v6i1.71
2079-8245 2308-1422,1,1,1,2,19,17,38,,10.4102/rw.v11i1.260
2079-8245 2308-1422,1,1,1,2,17,28,47,,10.4102/rw.v10i1.216
2332-8886,1,1,1,0,1,0,1,,10.1186/s42234-021-00070-y
2332-8886,1,1,1,0,44,7,51,,10.1186/s42234-019-0019-x
1477-9560,1,1,1,0,16,0,16,,10.1186/s12959-021-00347-x
1477-9560,1,1,1,105,0,7,112,,10.1186/s12959-021-00345-z
1477-9560,1,1,1,2,48,11,61,,10.1186/s12959-020-00249-4
1477-9560,1,1,1,4,31,9,44,,10.1186/s12959-021-00275-w
1477-9560,1,1,1,0,36,0,36,,10.1186/s12959-021-00339-x
2662-2300,1,1,1,4,17,16,37,,10.1186/s43031-021-00038-7
2662-2300,1,1,1,5,41,18,64,,10.1186/s43031-020-00030-7
2520-8225,1,1,1,0,9,4,13,,10.1186/s41984-021-00125-x
2520-8225,1,1,1,1,27,6,34,,10.1186/s41984-019-0063-6
2076-7633 2077-6853,1,1,1,1,8,48,57,,10.20537/2076-7633-2018-10-1-61-76
2076-7633 2077-6853,1,1,1,5,1,26,32,,10.20537/2076-7633-2017-9-6-981-991
2076-7633 2077-6853,1,1,1,0,10,4,14,,10.20537/2076-7633-2017-9-4-547-566
2076-7633 2077-6853,1,1,1,5,11,1,17,,10.20537/2076-7633-2018-10-3-295-303
2076-7633 2077-6853,1,1,1,1,5,14,20,,10.20537/2076-7633-2015-7-6-1221-1239
2076-7633 2077-6853,1,1,1,0,0,12,12,,10.20537/2076-7633-2013-5-5-883-891
2076-7633 2077-6853,1,1,1,1,5,2,8,,10.20537/2076-7633-2015-7-5-1047-1060
2076-7633 2077-6853,1,1,1,3,2,11,16,,10.20537/2076-7633-2012-4-4-781-792
2076-7633 2077-6853,1,1,1,1,4,3,8,,10.20537/2076-7633-2009-1-3-287-295
2076-7633 2077-6853,1,1,1,0,1,3,4,,10.20537/2076-7633-2010-2-4-349-357
2076-7633 2077-6853,1,1,1,4,13,3,20,,10.20537/2076-7633-2015-7-1-125-144
2076-7633 2077-6853,1,1,1,1,2,6,9,,10.20537/2076-7633-2009-1-1-5-12
2076-7633 2077-6853,1,1,1,0,0,3,3,,10.20537/2076-7633-2015-7-1-107-112
2076-7633 2077-6853,1,1,1,0,4,3,7,,10.20537/2076-7633-2009-1-2-217-223
2076-7633 2077-6853,1,1,1,2,7,2,11,,10.20537/2076-7633-2009-1-1-13-20
2364-1746 2364-1754,1,1,1,0,5,1,6,,10.1007/s41030-018-0063-9
2373-8731,1,1,1,22,0,1,23,,10.1097/TXD.0000000000001135
2373-8731,1,1,1,30,0,0,30,,10.1097/TXD.0000000000001227
2373-8731,1,1,1,29,0,0,29,,10.1097/TXD.0000000000001230
2373-8731,1,1,1,12,0,7,19,,10.1097/TXD.0000000000001121
2055-5822,1,1,1,0,5,0,5,,10.1002/ehf2.13186
2055-5822,1,1,1,0,20,3,23,,10.1002/ehf2.13187
2055-5822,1,1,1,0,32,3,35,,10.1002/ehf2.13189
2055-5822,1,1,1,0,33,1,34,,10.1002/ehf2.13216
2055-5822,1,1,1,0,29,2,31,,10.1002/ehf2.13261
2055-5822,1,1,1,0,9,8,17,,10.1002/ehf2.13158
2055-5822,1,1,1,0,25,2,27,,10.1002/ehf2.13082
2055-5822,1,1,1,0,20,1,21,,10.1002/ehf2.13127
2055-5822,1,1,1,0,37,3,40,,10.1002/ehf2.13098
1450-698X 1820-9289,1,1,1,0,3,0,3,,10.2298/SAJ0570057P
1450-698X 1820-9289,1,1,1,0,1,0,1,,10.2298/SAJ0469059P
1450-698X 1820-9289,1,1,1,0,12,0,12,,10.2298/SAJ0979101S
2391-5455,1,1,1,2,0,13,15,,10.1515/math-2020-0111
2391-5455,1,1,1,18,0,4,22,,10.1515/math-2018-0095
2391-5455,1,1,1,10,0,11,21,,10.1515/math-2018-0120
2391-5455,1,1,1,22,0,7,29,,10.1515/math-2018-0006
2391-5455,1,1,1,5,0,1,6,,10.1515/math-2018-0015
2575-8314,1,1,1,0,19,29,48,,10.1002/pan3.10150
2575-8314,1,1,1,0,70,14,84,,10.1002/pan3.10129
2575-8314,1,1,1,0,50,18,68,,10.1002/pan3.10242
2575-8314,1,1,1,1,58,18,77,,10.1002/pan3.10083
2575-8314,1,1,1,3,118,62,183,,10.1002/pan3.10088
2575-8314,1,1,1,2,39,49,90,,10.1002/pan3.10221
2053-8790,1,1,1,13,32,6,51,,10.1136/lupus-2020-000460
2053-8790,1,1,1,10,35,5,50,,10.1136/lupus-2021-000551
2617-3107 2617-7811,1,1,1,1,0,14,15,,10.37472/2617-3107-2020-3-08
2617-3107 2617-7811,1,1,1,5,0,43,48,,10.37472/2617-3107-2020-3-06
1560-9278 1997-4736,1,1,1,0,0,6,6,,10.21443/1560-9278-2017-20-3-547-555
1821-3944 2217-8392,1,1,1,21,0,12,33,,10.5937/ratpov58-33227
1817-4434 2415-2005,1,1,1,3,24,22,49,,10.4102/td.v14i2.486
1817-4434 2415-2005,1,1,1,0,16,11,27,,10.4102/td.v14i1.469
1958-9212,1,1,1,0,1,0,1,,10.4000/confins.17041
1958-9212,1,1,1,0,4,0,4,,10.4000/confins.40889
1958-9212,1,1,1,0,5,0,5,,10.4000/confins.41807
1958-9212,1,1,1,0,1,0,1,,10.4000/confins.36634
2104-3736,1,1,1,0,4,0,4,,10.4000/gss.2802
2104-3736,1,1,1,0,4,0,4,,10.4000/gss.830
2264-7082,1,1,1,0,19,0,19,,10.4000/tipa.1871
1772-9971,1,1,1,0,33,0,33,,10.4000/developpementdurable.11869
1772-9971,1,1,1,0,10,0,10,,10.4000/developpementdurable.2775
1772-9971,1,1,1,0,10,0,10,,10.4000/developpementdurable.9318
1772-9971,1,1,1,0,5,0,5,,10.4000/developpementdurable.8376
1772-9971,1,1,1,0,3,0,3,,10.4000/developpementdurable.10811
1772-9971,1,1,1,0,1,0,1,,10.4000/developpementdurable.1952
1772-9971,1,1,1,0,12,0,12,,10.4000/developpementdurable.19095
1772-9971,1,1,1,0,16,0,16,,10.4000/developpementdurable.10806
1772-9971,1,1,1,0,9,0,9,,10.4000/developpementdurable.2850
1772-9971,1,1,1,0,8,0,8,,10.4000/developpementdurable.18441
1772-9971,1,1,1,0,16,0,16,,10.4000/developpementdurable.18921
1772-9971,1,1,1,0,19,0,19,,10.4000/developpementdurable.19064
2090-2085 2090-2093,1,1,1,7,7,9,23,,10.1155/2013/952034
2090-2085 2090-2093,1,1,1,16,24,9,49,,10.1155/2011/631690
2090-2085 2090-2093,1,1,1,15,49,13,77,,10.1155/2013/502697
0891-060X 1651-2235,1,1,1,1,11,1,13,,10.3402/mehd.v23i0.17316
2090-6420 2090-6439,1,1,1,2,10,0,12,,10.1155/2011/612732
